title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 معلقة امرئ القيس الكندي								 6 	https://www.lisanarb.com/2021/07/pdf_511.html	https://archive.org/download/lis_diw22/lis_diw2215.pdf https://archive.org/download/lis_ak10/lis_ak1024.pdf https://archive.org/stream/lis_diw22/lis_diw2215#mode/2up 
 معلقة أمرؤ القيس بن حجر								 5 	https://www.lisanarb.com/2021/07/pdf_725.html	https://archive.org/download/lis_diw22/lis_diw2214.pdf https://archive.org/download/lis_a3m04/lis_a3m0422.pdf https://archive.org/stream/lis_diw22/lis_diw2214#mode/2up 
 شرح معلّقة امرئ القيس								 112 	https://www.lisanarb.com/2021/07/pdf_395.html	https://archive.org/download/lis_diw22/lis_diw2212.pdf https://archive.org/download/lis_a3m04/lis_a3m0421.pdf https://archive.org/stream/lis_diw22/lis_diw2212#mode/2up 
 شرح قصيدتي امرىء القيس وطرفة (دار عمار)		 د. محمد حسين آل ياسين	 دار عمار، عمّان 		 1430هـ , 2009م 			 88  	https://www.lisanarb.com/2021/07/pdf_186.html	https://archive.org/download/lis_diw22/lis_diw2211.pdf https://archive.org/download/lis_a3m04/lis_a3m0420.pdf https://archive.org/stream/lis_diw22/lis_diw2211#mode/2up 
 شرح ديوان امرئ القيس (ط العلوم)			 دار إحياء العلوم, بيروت		 1410هـ , 1990م 			 478 	https://www.lisanarb.com/2021/07/pdf_220.html	https://archive.org/download/lis_diw22/lis_diw2201.pdf https://archive.org/download/lis_a3m04/lis_a3m0401.pdf https://archive.org/stream/lis_diw22/lis_diw2201#mode/2up 
 شرح ديوان امرئ القيس (ط السفير)	 أبو جعفر النحاس، أحمد بن محمد بن إسماعيل بن يونس المرادي (ت 338هـ)	 د. عمر الفجاوي	  وزارة الثقافة, عمّان, الأردن		 2002م			 379  	https://www.lisanarb.com/2021/07/pdf_808.html	https://archive.org/download/lis_diw22/lis_diw2202.pdf https://archive.org/download/qaws0004/qaws0004.pdf  https://archive.org/stream/lis_diw22/lis_diw2202#mode/2up 
 ديوان امرئ القيس وملحقاته (ط مركز زايد)	 امرؤ القيس بن حجر بن الحارث الكندي (ت 86 ق.هـ)		 مركز زايد للتراث والتاريخ, الإمارات العربية		 1421هـ , 2000م			 1240 	https://www.lisanarb.com/2021/07/pdf_562.html	https://archive.org/download/lis_diw21/lis_diw2103.pdf https://archive.org/download/lis_diw23/lis_diw2309.pdf https://archive.org/stream/lis_diw21/lis_diw2103#mode/2up 
 ديوان امرئ القيس بن حجر (دار صادر)	 امرؤ القيس بن حجر بن الحارث الكندي (ت 86 ق.هـ)		 دار صادر، بيروت 					 186  	https://www.lisanarb.com/2021/07/pdf_223.html	https://archive.org/download/lis_diw20/lis_diw2015.pdf https://archive.org/download/lis_a3m04/lis_a3m0416.pdf https://archive.org/stream/lis_diw20/lis_diw2015#mode/2up 
 ديوان امرئ القيس (ط العلمية)		 مصطفى عبد الشافي	 دار الكتب العلمية, بيروت		 1425هـ , 2004م 			 176 	https://www.lisanarb.com/2021/07/pdf_762.html	https://archive.org/download/lis_diw21/lis_diw2102.pdf https://archive.org/download/lis_a3m04/lis_a3m0417.pdf https://archive.org/stream/lis_diw21/lis_diw2102#mode/2up 
 ديوان امرئ القيس (ط الرحمانية)			 المطبعة الرحمانية, مصر 		 1349هـ , 1930م 			 152 	https://www.lisanarb.com/2021/07/pdf_632.html	https://archive.org/download/lis_diw20/lis_diw2014.pdf https://archive.org/download/lis_a3m04/lis_a3m0415.pdf https://archive.org/stream/lis_diw20/lis_diw2014#mode/2up 
 ديوان امرئ القيس (دار عمار)			 دار عمار, الأردن		 1412 هـ , 1991م 			 304	https://www.lisanarb.com/2021/07/pdf_494.html	https://archive.org/download/lis_diw20/lis_diw2013.pdf https://archive.org/download/lis_a3m04/lis_a3m0414.pdf https://archive.org/stream/lis_diw20/lis_diw2013#mode/2up 
 ديوان امرئ القيس (دار المعارف)	 امرؤ القيس بن حجر بن الحارث الكندي (ت 86 ق.هـ)		 دار المعارف, القاهرة		 1984م			 569 	https://www.lisanarb.com/2021/07/pdf_313.html	https://archive.org/download/qayes/qayes.pdf https://archive.org/download/FP4428/4428.pdf https://archive.org/stream/qayes/qayes#mode/2up 
 ديوان امرؤ القيس (ط المعرفة)			 دار المعرفة, بيروت 		 1425هـ , 2004م 			 171 	https://www.lisanarb.com/2021/07/pdf_378.html	https://archive.org/download/lis_diw20/lis_diw2012.pdf https://archive.org/download/lis_a3m04/lis_a3m0413.pdf https://archive.org/stream/lis_diw20/lis_diw2012#mode/2up 
 شرح ديوان رئيس الشعراء؛ أبي الحرث امرئ القيس بن حجر الكندي	 الوزير أبي بكر عاصم بن أيوب		 المطبعة الخيرية, مصر		 1307 هـ 			 160 	https://www.lisanarb.com/2021/07/pdf_4195.html	https://archive.org/download/lis_diw22/lis_diw2203.pdf https://archive.org/download/lis_a3m04/lis_a3m0419.pdf https://archive.org/stream/lis_diw22/lis_diw2203#mode/2up 
 شرح ديوان رئيس الشّعراء أبي الحرث الشّهير بامرئ القيس	 الوزير أبي بكر عاصم بن أيوب البطليوسي		 مطبعة هندية، مصر 		 1324هـ , 1906م			 171 	https://www.lisanarb.com/2021/07/pdf_4341.html	https://archive.org/download/lis_qd55/lis_qd5515.pdf https://archive.org/stream/lis_qd55/lis_qd5515#mode/2up 
